IMDbId,keywords
tt0042332,cinderella|ball|fairy-tale|storybook-in-opening-shot|fairy|fairy-godmother|midnight|castle|glass-slipper|2d-animation|redhead|redhead-girl|siblings|cinderella-story|ends-with-wedding|disney|one-word-title|female-protagonist|france|17th-century|based-on-fairy-tale|anthropomorphism|evil-stepmother|rags-to-riches|stepsister-stepsister-relationship|stepmother-stepdaughter-relationship|1690s|mouse|dress|stepmother|kingdom|king|bird|pumpkin|carriage|woman|stepsister|prince|candle|marriage|bed|fantasy-sequence|invitation|singing-mouse|scissors|sister|jumping-on-a-bed|heroine|trio|folding-screen|rip-dress|royalty|chicken|talking-mouse|feet|female-narrator|narrator|anger|cigar-smoking|bechdel-test-passed|anthropomorphic-mouse|magic|knot-in-tail|bluebird|dog|duke|angry|villainess|gentleness|kiss|half-dressed-cartoon-animal|forename-as-title|spiraling-eyes|red|mushroom-cloud|horse|princess|bad-mother|blockbuster|cat|key|dream|sponge|bubble|cat-versus-mouse|grand-duke|magic-wand|transformation|sister-sister-relationship|family-relationships|sibling-rivalry|character-name-in-title|bedding|someone-in-socks|friends-who-live-together|eat|goofy-holler|wish-fulfillment|teacup|locked-in-room|race-against-time|damsel-in-distress|clock-tower|slipper|trapped|lucifer-morningstar-character|lady-tremaine-character|fairy-godmother-character|prince-charming-character|cinderella-character|locked-in-a-room|disney-princess|breakfast|mousetrap|sadness|monocle|chandelier|falling-chandelier|bowl-of-milk|flute|pearl-necklace|spell|ribbon|sword|cleaning|attic|battle|charles-perrault-tale|dance|altered-version-of-studio-logo|studio-logo-segues-into-film
tt0042200,remake|sharpshooter|gun|shooting-match|show-business|wild-west-show|kicked-in-the-rear|clay-pigeon-shooting|rags-to-riches|shooting-contest|sioux-chief|sioux-indian|trick-riding|conestoga-wagon|trick-shooting|skeet-shooting|helium-balloon|deception|marksmanship|kicked-in-the-leg|statue-of-liberty-new-york-city|shooting-a-bird|killing-a-bird|chocolate-eclair|french-pastry|cattle-boat|stuffed-buffalo-head|trapeze-artist|europe|command-performance|berlin-germany|bow-and-arrow|marching-band|adoptive-father-adopted-daughter-relationship|reference-to-samson|madison-square-garden-manhattan-new-york-city|peace-pipe|indian-ceremony|learning-to-read|falling-in-love|battle-of-the-sexes|coonskin-cap|brother-sister-relationship|sister-sister-relationship|jumping-on-a-horse|competition|hammock|horse-and-carriage|horse-riding|reference-to-ulysses-s.-grant|native-american|european-tour|travelling-show|medal-ceremony|target-shooting
tt0042393,moon|industry|general|zero-gravity|rocket-ship|outer-space|nuclear-power|usa|space|scientist|cold-war|1950s|doctor|astronaut|spacecraft|moon-landing|woody-woodpecker|based-on-novel
tt0042788,british-noir|wrestling|nightclub|hustler|manhunt|east-end-london|soho-london|underworld|forged-document|fox-fur-stole|bare-chested-male|wrestler|wrestling-promoter|sculptor|desperate-man|murder-contract|nightclub-singer|clip-joint|trafalgar-square-london|piccadilly-circus-london|street-life|silent-partner|london-bridge|husband-wife-relationship|greek|greco-roman-wrestling|flower-lady|double-cross|cleaning-lady|boathouse|bear-hug|wrestling-match|scheming-wife|london-england|get-rich-quick-scheme|former-athlete|father-son-relationship|con-artist|club-promoter|betrayal
tt0043044,dancing|tap-dancing|team|songwriting|lyricist|composer|redheaded-man|redheaded-woman|songwriter|foot-popping-kiss|three-word-title|odd-couple|marriage|magic|magician|knee-injury|friendship|baseball|script-writer|number-in-title
tt0042447,english-butler|president|nouveau-riche|actor|earl|cricket-game|1910s|redheaded-woman|mother-daughter-relationship|father-daughter-relationship|chased-by-a-dog|hand-cart|u.s.-president|fox-hunt|dog|polar-bearskin-rug|falling-off-horse|fake-family|high-society
tt0043150,taxi-driver|scheme|comedy-routine|taxi
tt0042735,love|mother-daughter-relationship|husband-wife-relationship|sequel-to-best-picture-winner|starting-over|self-discovery|post-world-war-two|family-reunion|family-relationships|disease|death|courage|sequel
tt0043116,1893-columbian-exposition|wax-museum|wake|poker|ferris-wheel|face-slap|chicago-illinois|casino|world's-fair|remake
tt0042376,gangster|socialite|flashback|murder|marriage|desert|surveyor|accountant|underworld|secret-past|oil-field|drunkenness|unfaithfulness|infidelity|extramarital-affair|statement-in-title|southern-u.s.|ambition|imposture|gambler|texas|mistress|model|california|child|automobile-accident|tension|mafia|rags-to-riches|moll|middle-class|double-life|femme-fatale|romantic-rivalry|punctuation-in-title|apostrophe-in-title|money-in-stocking|kiss|limousine-driver|assumed-identity|teletype|newspaper-headline|mysterious-past|montage|double-exposure-effects|casino|wife-leaves-husband|water-cooler|told-in-flashback|spurned-man|shot-to-death|ruined-life|mother-son-relationship|marriage-proposal|male-slaps-female|limousine|husband-wife-relationship|hit-by-a-truck|heartbreak|headache|hard-boiled-dame|getting-dumped|female-tears|female-crying|father-versus-daughter|father-son-relationship|father-daughter-relationship|fancy-restaurant|expensive-restaurant|ex-lover|estranged-husband-estranged-wife-relationship|estranged-couple|escape-by-car|engagement-ring|double-cross|cigarette-smoking|chicken-salad-sandwich|bookkeeper|bicycle|aspirin|accessory-before-the-fact|woman-crying|wolf-whistle|torn-between-two-men|taxi-driver|swimming-pool|small-town-girl|six-year-old|shot-in-the-stomach|secretary|salesman|restaurant-owner|reporter|radio-announcer|putting-money-in-a-stocking|private-library|policeman|palm-springs-california|open-window|newspaper-editor|new-york-city|new-office|movie-projector|menu|locking-door|locked-door|lack-of-education|housewife|house-boy|home-movie|helping-a-female-zip-her-dress|family-photograph|employment-agency|drunk-woman|dinner|dead-man|dead-body|cynicism|criminal-syndicate|cigar-stand|cheap-perfume|blood-stain|blood-on-carpet|being-overdressed|bedroom|automobile|adultery|adulterous-husband|adulteress|accidental-death|death-of-son
