IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0145487,7.3,1,"Action, Adventure, Sci-Fi",2002,Spider-Man (2002)
tt0167261,8.7,2,"Adventure, Drama, Fantasy",2002,The Lord of the Rings: The Two Towers (2002)
tt0121765,6.6,3,"Action, Adventure, Fantasy",2002,Star Wars: Episode II - Attack of the Clones (2002)
tt0295297,7.4,4,"Adventure, Family, Fantasy",2002,Harry Potter and the Chamber of Secrets (2002)
tt0259446,6.6,5,"Comedy, Drama, Romance",2002,My Big Fat Greek Wedding (2002)
tt0286106,6.7,6,"Drama, Mystery, Sci-Fi",2002,Signs (2002)
tt0295178,6.2,7,"Action, Adventure, Comedy",2002,Austin Powers in Goldmember (2002)
tt0120912,6.1,8,"Action, Adventure, Comedy",2002,Men in Black II (2002)
tt0268380,7.5,9,"Animation, Adventure, Comedy",2002,Ice Age (2002)
tt0299658,7.2,10,"Comedy, Crime, Musical",2002,Chicago (2002)
tt0264464,8.1,11,"Biography, Crime, Drama",2002,Catch Me If You Can (2002)
tt0246460,6.1,12,"Action, Adventure, Thriller",2002,Die Another Day (2002)
tt0267913,5.0,13,"Adventure, Comedy, Family",2002,Scooby-Doo (2002)
tt0275847,7.2,14,"Animation, Adventure, Comedy",2002,Lilo & Stitch (2002)
tt0295701,5.9,15,"Action, Adventure, Thriller",2002,xXx (2002)
tt0304669,5.6,16,"Comedy, Family, Fantasy",2002,The Santa Clause 2 (2002)
tt0181689,7.7,17,"Action, Adventure, Crime",2002,Minority Report (2002)
tt0298130,7.1,18,"Horror, Mystery",2002,The Ring (2002)
tt0256415,6.2,19,"Comedy, Romance",2002,Sweet Home Alabama (2002)
tt0280590,5.8,20,"Comedy, Romance",2002,Mr. Deeds (2002)
tt0258463,7.9,21,"Action, Mystery, Thriller",2002,The Bourne Identity (2002)
tt0164184,6.4,22,"Action, Drama, Thriller",2002,The Sum of All Fears (2002)
tt0298203,7.1,23,"Drama, Music",2002,8 Mile (2002)
tt0257044,7.7,24,"Crime, Drama, Thriller",2002,Road to Perdition (2002)
tt0258000,6.8,25,"Crime, Drama, Thriller",2002,Panic Room (2002)
tt0252076,5.1,26,"Comedy, Drama, Romance",2002,Maid in Manhattan (2002)
tt0313737,6.1,27,"Comedy, Romance",2002,Two Weeks Notice (2002)
tt0290296,7.5,28,Documentary,2002,Space Station 3D (2002)
tt0289765,7.2,29,"Crime, Drama, Thriller",2002,Red Dragon (2002)
tt0277296,5.5,30,"Action, Adventure, Fantasy",2002,The Scorpion King (2002)
tt0287717,5.1,31,"Action, Adventure, Comedy",2002,Spy Kids 2: Island of Lost Dreams (2002)
tt0187738,6.7,32,"Action, Horror, Sci-Fi",2002,Blade II (2002)
tt0281373,5.1,33,"Adventure, Comedy, Family",2002,Snow Dogs (2002)
tt0277434,7.2,34,"Action, Drama, History",2002,We Were Soldiers (2002)
tt0217505,7.5,35,"Crime, Drama",2002,Gangs of New York (2002)
tt0303714,6.3,36,"Comedy, Drama",2002,Barbershop (2002)
tt0265662,7.0,37,"Drama, Family, Sport",2002,The Rookie (2002)
tt0166813,7.1,38,"Animation, Adventure, Family",2002,Spirit: Stallion of the Cimarron (2002)
tt0251160,7.1,39,"Crime, Drama, Thriller",2002,John Q (2002)
tt0279778,6.0,40,Drama,2002,Divine Secrets of the Ya-Ya Sisterhood (2002)
tt0278504,7.2,41,"Drama, Mystery, Thriller",2002,Insomnia (2002)
tt0264472,6.5,42,"Drama, Thriller",2002,Changing Lanes (2002)
tt0257360,7.2,43,"Comedy, Drama",2002,About Schmidt (2002)
tt0243585,5.5,44,"Animation, Adventure, Comedy",2002,Stuart Little 2 (2002)
tt0322802,6.6,45,"Documentary, Action, Comedy",2002,Jackass: The Movie (2002)
tt0268695,5.9,46,"Action, Adventure, Sci-Fi",2002,The Time Machine (2002)
tt0303933,5.7,47,"Comedy, Drama, Romance",2002,Drumline (2002)
tt0245844,7.8,48,"Action, Adventure, Drama",2002,The Count of Monte Cristo (2002)
tt0299977,7.9,49,"Action, Adventure, History",2002,Ying xiong (2002)
tt0250797,6.7,50,"Drama, Thriller",2002,Unfaithful (2002)
tt0308506,5.2,51,"Comedy, Family, Fantasy",2002,Like Mike (2002)
tt0290095,5.3,52,"Action, Comedy, Sci-Fi",2002,The Tuxedo (2002)
tt0280030,5.8,53,"Animation, Adventure, Family",2002,Return to Never Land (2002)
tt0265298,5.4,54,"Adventure, Comedy, Family",2002,Big Fat Liar (2002)
tt0183649,7.1,55,"Crime, Thriller",2002,Phone Booth (2002)
tt0289043,7.6,56,"Drama, Horror, Sci-Fi",2002,28 Days Later... (2002)
tt0253754,6.4,57,"Action, Adventure, Sci-Fi",2002,Star Trek: Nemesis (2002)
tt0253556,6.2,58,"Action, Adventure, Fantasy",2002,Reign of Fire (2002)
tt0274558,7.6,59,"Drama, Romance",2002,The Hours (2002)
tt0257756,6.3,60,"Crime, Drama, Mystery",2002,High Crimes (2002)
tt0276751,7.1,61,"Comedy, Drama, Romance",2002,About a Boy (2002)
tt0281358,7.4,62,"Drama, Romance",2002,A Walk to Remember (2002)
tt0273923,6.2,63,"Comedy, Drama",2002,Orange County (2002)
tt0245562,6.0,64,"Action, Drama, War",2002,Windtalkers (2002)
tt0300532,5.6,65,"Drama, Romance, Sport",2002,Blue Crush (2002)
tt0295427,3.3,66,"Adventure, Comedy, Family",2002,The Master of Disguise (2002)
tt0120804,6.7,67,"Action, Horror, Sci-Fi",2002,Resident Evil (2002)
tt0282120,5.3,68,"Animation, Adventure, Comedy",2002,The Wild Thornberrys Movie (2002)
tt0233469,5.5,69,"Action, Drama, Thriller",2002,Collateral Damage (2002)
tt0278435,5.7,70,"Crime, Drama, Thriller",2002,Enough (I) (2002)
tt0279493,5.8,71,"Action, Comedy",2002,Undercover Brother (2002)
tt0133240,7.1,72,"Animation, Adventure, Family",2002,Treasure Planet (2002)
tt0284490,5.5,73,"Action, Comedy, Crime",2002,Showtime (2002)
tt0243736,5.6,74,"Comedy, Romance",2002,40 Days and 40 Nights (2002)
tt0275022,3.4,75,"Comedy, Drama, Romance",2002,Crossroads (I) (2002)
tt0157472,5.2,76,"Action, Adventure, Comedy",2002,Clockstoppers (2002)
tt0265349,6.5,77,"Drama, Horror, Mystery",2002,The Mothman Prophecies (2002)
tt0267626,6.7,78,"Drama, History, Thriller",2002,K-19: The Widowmaker (2002)
tt0302640,5.5,79,"Comedy, Fantasy",2002,The Hot Chick (2002)
tt0297181,5.4,80,"Action, Adventure, Comedy",2002,I Spy (2002)
tt0293815,5.8,81,"Comedy, Drama",2002,Friday After Next (2002)
tt0253474,8.5,82,"Biography, Drama, Music",2002,The Pianist (2002)
tt0286499,6.7,83,"Comedy, Drama, Romance",2002,Bend It Like Beckham (2002)
tt0289848,5.9,84,"Comedy, Crime",2002,Analyze That (2002)
tt0264935,6.1,85,"Crime, Mystery, Thriller",2002,Murder by Numbers (2002)
tt0265459,6.8,86,"Drama, Thriller",2002,One Hour Photo (2002)
tt0220506,4.1,87,"Comedy, Horror, Thriller",2002,Halloween: Resurrection (2002)
tt0238546,5.3,88,"Drama, Fantasy, Horror",2002,Queen of the Damned (2002)
tt0280460,5.6,89,"Comedy, Drama",2002,The Banger Sisters (2002)
tt0280486,5.6,90,"Action, Adventure, Comedy",2002,Bad Company (2002)
tt0288477,5.5,91,Horror,2002,Ghost Ship (2002)
tt0259288,6.1,92,"Drama, Fantasy, Mystery",2002,Dragonfly (2002)
tt0241760,5.9,93,Comedy,2002,The New Guy (2002)
tt0283026,5.0,94,"Drama, Thriller",2002,Swimfan (2002)
tt0305396,5.4,95,"Action, Adventure, Comedy",2002,The Crocodile Hunter: Collision Course (2002)
tt0297037,6.5,96,"Romance, Comedy, Drama",2002,Brown Sugar (2002)
tt0309377,6.4,97,"Action, Crime, Drama",2002,Blood Work (2002)
tt0120679,7.4,98,"Biography, Drama, Romance",2002,Frida (2002)
tt0298388,6.6,99,"Animation, Adventure, Comedy",2002,Jonah: A VeggieTales Movie (2002)
tt0278295,5.8,100,"Action, Comedy, Crime",2002,All About the Benjamins (2002)
tt0293662,6.8,101,"Action, Crime, Thriller",2002,The Transporter (2002)
tt0253867,5.1,102,"Comedy, Romance",2002,The Sweetest Thing (2002)
tt0271263,5.3,103,"Animation, Comedy, Musical",2002,Eight Crazy Nights (2002)
tt0269095,6.1,104,"Crime, Drama, Mystery",2002,City by the Sea (2002)
tt0268126,7.7,105,"Comedy, Drama",2002,Adaptation. (2002)
tt0273517,5.4,106,Horror,2002,Darkness (2002)
tt0310793,8.0,107,"Documentary, Crime, Drama",2002,Bowling for Columbine (2002)
